ID	(25, 15, 5)	(5, 15, 15)	(15, 15, 25)	(5, 25, 25)	(5, 25, 5)	(25, 15, 25)	(25, 5, 25)	(25, 5, 15)	(15, 5, 25)	(5, 5, 5)	(5, 25, 15)	(15, 25, 5)	(15, 5, 5)	(25, 15, 15)	(5, 15, 25)	(15, 15, 15)	(25, 25, 25)	(5, 5, 25)	(5, 15, 5)	(25, 5, 5)	(25, 25, 5)	(15, 25, 15)	(15, 25, 25)	(15, 5, 15)	(5, 5, 15)	(15, 15, 5)	(25, 25, 15)
(, 0.00)	-136.9363388483061	-30.92543048876842	-82.45442073216279	-104.07227293904339	0.0	0.0	0.0	-44.742658862041125	0.0	-93.31912980952083	0.0	0.0	-144.5145471801904	-66.76312694735601	-148.8955405810312	-24.97458212853971	-10.349908077719522	-201.27451463496664	-19.09588916914895	-165.76989915206465	-102.16968088734063	44.526265468399735	-74.61601476044638	-50.304352816166514	-183.11703374603874	0.0	-45.93779394466796
(, -0.20)	-137.47579658314385	-30.017192813397536	-81.65589615814017	-104.11664624621511	0.0	0.0	0.0	-48.52107995458675	0.0	-114.05221815264902	0.0	0.0	-144.5318435388824	-73.66150365324967	-149.90866155645006	-27.850118900052863	-11.534846157045287	-202.49426790795303	-18.99245815073191	-166.0393674916441	-102.09045743239753	44.48550224991213	-75.05469252773875	-51.047051232517546	-183.05382300843655	0.0	-47.89061569385936
(, 0.20)	-137.33116932217467	-31.59687466877491	-81.58499991600382	-105.27050577428079	0.0	0.0	0.0	-44.92891949088698	0.0	-132.93990868534505	0.0	0.0	-144.73179803489919	-66.69864401746447	-148.76120940656347	-25.126674157021235	-10.04870603127296	-198.40255383233432	-19.130313128637837	-166.48580828716015	-102.30747506026306	44.13630825428794	-75.03881120826574	-52.31369260073713	-183.10739770007	0.0	-49.21221171090693
(, -0.10)	-137.80194884970854	-32.91011924378476	-82.08630172847904	-103.97539444661244	0.0	0.0	0.0	-44.51720088169135	0.0	-109.68567282169072	0.0	0.0	-144.7096286845327	-75.51350733881077	-148.59518129023886	-25.140893848301737	-16.417682797597813	-202.40649026175345	-16.811915821067767	-166.28794287680608	-102.59720584222825	44.35532897836835	-74.84064923291014	-50.60742518273724	-183.09290022910056	0.0	-49.54541762044984
(, 0.10)	-137.5586706156282	-31.05644345914007	-82.78778810724464	-103.945007706746	0.0	0.0	0.0	-45.02082177497992	0.0	-110.90658460408699	0.0	0.0	-144.6297568756932	-78.74680164516604	-148.12849203896147	-25.05726267731692	-10.25649930341041	-203.06401015624948	-16.61474437393122	-165.98875111548796	-102.0091695656086	44.3920860171778	-75.49821917731688	-50.66249513593494	-183.05083179249866	0.0	-46.15766827438054
