ID	(15, 25, 25, 5, 15)	(5, 5, 5, 5, 15)	(15, 15, 15, 5, 25)	(25, 25, 25, 5, 25)	(25, 25, 25, 15, 15)	(5, 5, 5, 15, 5)	(5, 5, 15, 15, 15)	(25, 5, 15, 15, 15)	(25, 25, 15, 5, 25)	(25, 25, 5, 25, 5)	(15, 5, 15, 15, 5)	(15, 5, 25, 25, 5)	(15, 25, 25, 5, 25)	(15, 5, 5, 15, 15)	(25, 5, 15, 15, 25)	(15, 15, 25, 25, 25)	(5, 25, 25, 5, 25)	(25, 5, 15, 15, 5)	(25, 5, 15, 5, 25)	(25, 5, 5, 25, 5)	(25, 15, 5, 5, 5)	(5, 5, 15, 15, 25)	(15, 25, 15, 15, 5)	(15, 25, 15, 5, 25)	(15, 5, 15, 25, 25)	(5, 5, 15, 5, 5)	(15, 15, 5, 25, 15)	(5, 25, 25, 15, 15)	(15, 15, 25, 5, 25)	(25, 5, 15, 5, 5)	(15, 15, 15, 25, 5)	(25, 15, 25, 5, 15)	(15, 5, 25, 15, 15)	(5, 5, 25, 15, 5)	(25, 15, 5, 5, 15)	(15, 5, 15, 5, 5)	(15, 15, 5, 15, 5)	(25, 15, 25, 25, 25)	(15, 25, 15, 15, 15)	(15, 15, 5, 15, 25)	(15, 15, 25, 5, 5)	(25, 15, 5, 15, 15)	(25, 5, 25, 15, 5)	(15, 15, 25, 25, 15)	(15, 25, 15, 5, 15)	(15, 25, 15, 25, 25)	(5, 5, 25, 5, 15)	(25, 5, 5, 15, 15)	(15, 15, 5, 5, 15)	(5, 5, 15, 15, 5)	(25, 25, 5, 5, 5)	(5, 5, 25, 5, 25)	(15, 25, 5, 15, 5)	(25, 15, 15, 25, 5)	(5, 15, 15, 5, 15)	(25, 5, 25, 15, 15)	(25, 25, 25, 5, 5)	(25, 5, 5, 25, 15)	(25, 5, 15, 25, 5)	(5, 15, 25, 25, 15)	(15, 5, 25, 5, 5)	(15, 15, 15, 15, 5)	(15, 25, 5, 25, 5)	(5, 5, 5, 15, 15)	(5, 25, 5, 25, 15)	(25, 5, 15, 25, 25)	(15, 5, 15, 25, 5)	(25, 5, 15, 5, 15)	(5, 25, 25, 15, 5)	(15, 25, 25, 15, 25)	(25, 15, 15, 5, 25)	(5, 5, 15, 25, 25)	(25, 15, 25, 15, 5)	(5, 25, 15, 5, 25)	(5, 5, 15, 5, 25)	(25, 25, 15, 15, 5)	(25, 15, 25, 5, 5)	(5, 15, 15, 15, 5)	(5, 5, 25, 5, 5)	(25, 25, 15, 25, 15)	(15, 5, 25, 25, 25)	(25, 5, 5, 5, 15)	(25, 5, 5, 5, 25)	(15, 5, 15, 5, 25)	(25, 5, 5, 15, 25)	(5, 25, 25, 15, 25)	(25, 5, 5, 15, 5)	(15, 25, 5, 5, 25)	(5, 5, 15, 25, 15)	(25, 25, 5, 5, 15)	(5, 15, 5, 15, 15)	(25, 25, 5, 15, 25)	(15, 5, 25, 5, 15)	(5, 15, 25, 25, 5)	(15, 5, 5, 15, 25)	(25, 25, 25, 25, 5)	(25, 5, 15, 25, 15)	(15, 15, 25, 15, 25)	(5, 25, 15, 5, 5)	(5, 15, 25, 25, 25)	(25, 15, 5, 15, 5)	(15, 15, 15, 5, 15)	(5, 15, 5, 25, 5)	(15, 5, 5, 5, 15)	(5, 25, 5, 15, 5)	(5, 15, 25, 5, 25)	(15, 15, 15, 15, 25)	(5, 5, 25, 25, 25)	(25, 5, 25, 5, 15)	(25, 5, 25, 25, 15)	(15, 25, 25, 5, 5)	(25, 15, 15, 5, 5)	(25, 25, 5, 15, 15)	(25, 15, 15, 15, 25)	(15, 5, 5, 15, 5)	(5, 15, 25, 5, 5)	(25, 25, 5, 25, 15)	(15, 25, 15, 15, 25)	(5, 5, 25, 25, 5)	(25, 25, 15, 25, 25)	(25, 15, 25, 15, 15)	(25, 25, 15, 25, 5)	(15, 5, 15, 15, 15)	(5, 15, 5, 25, 25)	(25, 15, 5, 25, 15)	(5, 25, 25, 5, 15)	(5, 15, 5, 5, 15)	(15, 25, 25, 25, 25)	(5, 25, 5, 15, 25)	(25, 5, 25, 25, 25)	(5, 5, 5, 25, 5)	(25, 25, 5, 25, 25)	(5, 25, 15, 25, 25)	(15, 5, 5, 25, 15)	(25, 5, 25, 5, 5)	(15, 15, 15, 25, 25)	(15, 15, 5, 5, 25)	(25, 5, 25, 15, 25)	(25, 15, 5, 5, 25)	(5, 5, 5, 5, 5)	(5, 5, 5, 5, 25)	(15, 25, 5, 15, 25)	(15, 25, 25, 15, 15)	(15, 5, 15, 5, 15)	(15, 5, 25, 15, 5)	(25, 15, 15, 15, 15)	(15, 25, 5, 5, 5)	(5, 25, 15, 25, 5)	(5, 15, 5, 15, 25)	(5, 5, 25, 25, 15)	(15, 25, 5, 5, 15)	(25, 25, 5, 15, 5)	(25, 25, 25, 25, 25)	(15, 25, 25, 15, 5)	(25, 15, 15, 25, 15)	(25, 25, 15, 5, 5)	(25, 15, 15, 25, 25)	(15, 25, 5, 15, 15)	(25, 15, 5, 25, 25)	(25, 5, 5, 25, 25)	(25, 15, 5, 25, 5)	(5, 15, 5, 15, 5)	(25, 25, 15, 15, 25)	(5, 25, 5, 25, 25)	(15, 15, 15, 15, 15)	(15, 5, 25, 25, 15)	(15, 15, 5, 25, 25)	(15, 5, 15, 25, 15)	(5, 25, 5, 5, 25)	(15, 15, 5, 25, 5)	(5, 25, 25, 25, 15)	(5, 5, 5, 25, 15)	(25, 25, 25, 25, 15)	(5, 5, 5, 25, 25)	(15, 5, 25, 15, 25)	(15, 5, 5, 25, 5)	(25, 25, 15, 5, 15)	(15, 15, 25, 25, 5)	(5, 25, 15, 15, 25)	(5, 5, 25, 15, 15)	(15, 15, 25, 5, 15)	(25, 25, 15, 15, 15)	(15, 15, 5, 15, 15)	(5, 25, 5, 5, 15)	(5, 15, 25, 15, 15)	(5, 25, 15, 25, 15)	(15, 25, 15, 5, 5)	(15, 25, 25, 25, 5)	(5, 25, 15, 15, 5)	(15, 15, 5, 5, 5)	(25, 15, 25, 25, 5)	(25, 25, 5, 5, 25)	(25, 25, 25, 5, 15)	(5, 25, 5, 5, 5)	(5, 5, 25, 15, 25)	(15, 25, 25, 25, 15)	(5, 15, 25, 15, 5)	(5, 15, 15, 15, 15)	(5, 15, 5, 5, 25)	(25, 15, 5, 15, 25)	(5, 15, 15, 25, 25)	(15, 15, 25, 15, 5)	(5, 25, 5, 25, 5)	(5, 25, 25, 25, 5)	(25, 25, 25, 15, 25)	(15, 5, 5, 5, 5)	(25, 15, 25, 25, 15)	(5, 5, 5, 15, 25)	(5, 25, 5, 15, 15)	(15, 25, 5, 25, 15)	(15, 25, 5, 25, 25)	(5, 5, 15, 5, 15)	(5, 15, 15, 25, 5)	(25, 25, 25, 15, 5)	(5, 15, 15, 15, 25)	(5, 15, 5, 25, 15)	(25, 15, 15, 15, 5)	(25, 5, 5, 5, 5)	(5, 5, 15, 25, 5)	(5, 15, 25, 15, 25)	(25, 5, 25, 25, 5)	(15, 5, 15, 15, 25)	(15, 25, 15, 25, 15)	(5, 15, 15, 5, 25)	(25, 15, 25, 15, 25)	(5, 15, 15, 5, 5)	(25, 15, 15, 5, 15)	(5, 25, 15, 15, 15)	(5, 25, 25, 25, 25)	(15, 15, 25, 15, 15)	(5, 15, 15, 25, 15)	(25, 15, 25, 5, 25)	(15, 15, 15, 5, 5)	(5, 15, 5, 5, 5)	(5, 25, 25, 5, 5)	(5, 25, 15, 5, 15)	(15, 5, 25, 5, 25)	(5, 15, 25, 5, 15)	(25, 5, 25, 5, 25)	(15, 5, 5, 5, 25)	(15, 15, 15, 25, 15)	(15, 25, 15, 25, 5)	(15, 5, 5, 25, 25)
(, 0.00)	0.0	-78.95264750065368	0.0	0.0	-35.983099507524784	-44.170674760331735	0.0	0.0	0.0	0.0	-3.4410057145935578	0.0	0.0	0.0	0.0	-17.51766405311287	0.0	0.0	0.0	0.0	-186.57585961971571	-7.355008510511883	0.0	0.0	-37.61903221167427	-1.373130161983496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0950495115835523	-69.06003432285269	-4.199514759972775	0.0	0.0	0.0	0.0	0.0	-6.2808347839942416	0.0	27.110935252192213	0.0	0.0	0.0	0.0	0.0	-1.9587213556422098	-231.08315298386066	0.0	0.0	0.0	0.0	0.0	-105.59841484951303	0.0	0.0	-2.217230740250495	0.0	-1.8774480522393795	0.0	-31.35652079741792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-159.3514027771014	0.0	0.0	0.0	-94.37077502024022	0.0	0.0	2.9302929803894058	0.0	0.0	-6.494663860643122	0.0	0.0	0.0	0.0	0.0	0.0	-5.909410623661729	0.0	0.0	0.0	0.0	0.0	0.0	-6.537248815425507	0.0	0.0	0.0	-39.12806338390209	0.0	0.0	0.0	-6.525613669398899	0.0	0.0	-5.662370226713476	-97.05101542359219	0.0	0.0	-1.7630263697651076	-44.22755981452559	0.0	0.0	0.0	0.0	0.0	0.0	-0.9988787980509544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3498767293034653	0.0	0.0	-11.865620615619227	0.0	0.0	0.0	0.0	-66.03273371506246	0.0	0.0	0.0	-122.15235632659945	-226.75221446261128	0.0	16.97624967460576	0.0	0.0	-82.1528481561435	-121.88087238227463	0.0	0.0	-2.3343740423805697	0.0	0.0	30.100154894291265	0.0	0.0	-143.96853336350983	0.0	0.0	0.0	0.0	0.0	0.0	-2.857401289068562	0.0	-1.2514198014456173	0.0	0.0	-2.631331057156438	0.0	0.0	-1.2262139153578755	-97.22541831890773	4.169362453247822	-193.8775280855985	0.0	0.0	-57.23915604809315	0.0	0.0	0.0	0.0	-97.92384181826625	0.0	0.0	0.0	0.0	-5.689574875592551	0.9905160020873032	0.0	-115.66936637556074	0.0	0.0	0.0	-15.150026320800647	0.0	31.736842472609386	0.0	0.0	0.0	0.0	-34.06797076218187	0.8416086160267799	0.0	0.8334584833698433	-6.691098202723888	-155.70780861926005	0.0	-235.5928970668919	0.0	0.0	0.0	0.0	0.0	-64.1932330830931	0.0	0.0	0.0	-228.96052273062173	-4.553030412621995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-26.882319310864375	0.0	-24.93879258045443	2.7627009026836404	0.0	0.0	-4.441089390563327	-65.39771384534674	0.0	0.0	0.0	0.0	0.0	0.0	-1.5487169379006551	0.0	0.0
(, 0.10)	0.0	-79.75290769766504	0.0	0.0	-35.27999923577515	-43.97172925635737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-16.980790370229897	0.0	0.0	0.0	0.0	-226.05643506971472	0.0	0.0	0.0	-35.774499526358305	-1.6517963338421624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-71.03448331885158	-3.965948578792449	0.0	0.0	0.0	0.0	0.0	-8.969980070195646	0.0	13.902996803878228	0.0	0.0	0.0	0.0	0.0	-2.1646197460758603	-196.2149123295444	0.0	0.0	0.0	0.0	0.0	-104.44327306555019	0.0	0.0	-1.894966818073405	0.0	0.0	0.0	-34.827831278184306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-115.25247933781885	0.0	0.0	0.0	-93.12086322500649	0.0	0.0	0.0	0.0	0.0	-6.670802076818764	0.0	0.0	0.0	0.0	0.0	0.0	-10.761875154272591	0.0	0.0	0.0	0.0	0.0	0.0	-6.60301296050768	0.0	0.0	0.0	-29.621384409939246	0.0	0.0	0.0	-6.568179641877855	0.0	0.0	0.0	-124.84555430857668	0.0	0.0	-1.082367430751713	-44.48736922125275	0.0	0.0	0.0	0.0	0.0	0.0	-2.056220110616468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.413982889128405	0.0	0.0	-8.76930663408979	0.0	0.0	0.0	0.0	-65.97298038828072	0.0	0.0	0.0	-122.13511953068384	-227.66822559437153	0.0	16.992840100615823	0.0	0.0	-81.91351002584186	-124.07080421285119	0.0	0.0	-3.893727638433145	0.0	0.0	30.970160365605615	0.0	0.0	-143.73119357263934	0.0	0.0	0.0	0.0	0.0	0.0	-2.9378264843324744	0.0	-1.5080915865485838	0.0	0.0	0.0	0.0	0.0	-2.4890036644473743	-97.14842824331313	4.674113408982408	-193.88630917622652	0.0	0.0	-59.2646481921541	0.0	0.0	0.0	0.0	-100.18065776363595	0.0	0.0	0.0	0.0	-5.174058268303778	0.0	0.0	-116.24626150280807	0.0	0.0	0.0	-21.18575426750297	0.0	31.72009120908208	0.0	0.0	0.0	0.0	-30.52328605196667	0.0	0.0	0.0	-6.90873058532758	-155.659798233024	0.0	-235.70909104667595	0.0	0.0	0.0	0.0	0.0	-63.17187981559021	0.0	0.0	0.0	-228.6733140819503	-3.641356531083257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-27.07390577792379	0.0	-22.043577256705923	0.0	0.0	0.0	-4.184455772290689	-63.47336704687599	0.0	0.0	0.0	0.0	0.0	0.0	-1.488650120337069	0.0	0.0
(, 0.20)	0.0	-81.07950457233673	0.0	0.0	-36.22947397639143	-48.64191707352187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.83492235683424	0.0	0.0	0.0	0.0	-226.35114682255153	0.0	0.0	0.0	-37.40117029411184	-1.4671808884253528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.523995971201925	-67.2854730116474	0.0	0.0	0.0	0.0	0.0	0.0	-6.373525598565002	0.0	27.070377496850874	0.0	0.0	0.0	0.0	0.0	-3.8887238735784435	-231.4102397545903	0.0	0.0	0.0	0.0	0.0	-105.27418467038234	0.0	0.0	0.0	0.0	0.0	0.0	-36.35284629390841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-159.21359361824148	0.0	0.0	0.0	-95.06457448788484	0.0	0.0	0.0	0.0	0.0	-9.334707004826472	0.0	0.0	0.0	0.0	0.0	0.0	-7.870396879517062	0.0	0.0	0.0	0.0	0.0	0.0	-6.496829609855422	0.0	0.0	0.0	-44.508195978683446	0.0	0.0	0.0	-6.55655883162301	0.0	0.0	0.0	-98.62793159831406	0.0	0.0	-1.5487513573920353	-48.05603828123978	0.0	0.0	0.0	0.0	0.0	0.0	-1.91747984429906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4297224874238252	0.0	0.0	-7.134883028473211	0.0	0.0	0.0	0.0	-66.83737938685023	0.0	0.0	0.0	-122.56824811367454	-233.6644123867833	0.0	16.751410671164944	0.0	0.0	-81.17715315969008	-122.13757841853594	0.0	0.0	-4.272884328513568	0.0	0.0	7.584034115407288	0.0	0.0	-143.90387718349317	0.0	0.0	0.0	0.0	0.0	0.0	-3.0128113414218833	0.0	-1.7739211897636717	0.0	0.0	0.0	0.0	0.0	0.0	-101.75314713963972	4.40612831620831	-222.68231820163632	0.0	0.0	-57.458874196071406	0.0	0.0	0.0	0.0	-100.39835036141227	0.0	0.0	0.0	0.0	-6.348603569784918	0.0	0.0	-116.03886692500254	0.0	0.0	0.0	-20.553479138941082	0.0	34.702131538927745	0.0	0.0	0.0	0.0	-32.59310762987256	0.0	0.0	0.0	-5.83212633299328	-155.6290306633897	0.0	-235.93005049022497	0.0	0.0	0.0	0.0	0.0	-64.12681939642	0.0	0.0	0.0	-228.95818210045778	-4.384872012123825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-29.100072251615597	0.0	-21.72302544315189	0.0	0.0	0.0	-4.227172560450925	-66.97570372462312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(, 0.30)	0.0	-80.60594071909101	0.0	0.0	-36.70035064694215	-44.168625105564686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-19.84939547218346	0.0	0.0	0.0	0.0	-226.01079741387892	0.0	0.0	0.0	-32.0409273691581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9823178934174015	-67.68365979001663	0.0	0.0	0.0	0.0	0.0	0.0	-6.3654539673979	0.0	26.10643668780112	0.0	0.0	0.0	0.0	0.0	-4.768998461165531	-231.1096481451561	0.0	0.0	0.0	0.0	0.0	-104.81810561459977	0.0	0.0	0.0	0.0	0.0	0.0	-29.287933511529886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-132.45506382784512	0.0	0.0	0.0	-94.77359687437828	0.0	0.0	0.0	0.0	0.0	-6.712997518143115	0.0	0.0	0.0	0.0	0.0	0.0	-7.916680094217963	0.0	0.0	0.0	0.0	0.0	0.0	-6.515925118105956	0.0	0.0	0.0	-37.35894616604362	0.0	0.0	0.0	-6.394451696148936	0.0	0.0	0.0	-87.16520255601183	0.0	0.0	-0.3749200253532262	-44.51918791170065	0.0	0.0	0.0	0.0	0.0	0.0	-1.7119509175950134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.575163543920011	0.0	0.0	-7.786141764788585	0.0	0.0	0.0	0.0	-66.72833909703395	0.0	0.0	0.0	-130.50089069489232	-227.93052055610008	0.0	28.700426918649114	0.0	0.0	-80.33926842664846	-122.33885788958372	0.0	0.0	-2.7639282371091447	0.0	0.0	30.740921399692425	0.0	0.0	-144.4910395769363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2397001459911126	0.0	0.0	0.0	0.0	0.0	0.0	-97.03570609855124	3.557585598137612	-193.67143914487778	0.0	0.0	-57.89656476004364	0.0	0.0	0.0	0.0	-101.01902541466649	0.0	0.0	0.0	0.0	-6.808917274679145	0.0	0.0	-117.71700491187127	0.0	0.0	0.0	-15.895470197695047	0.0	33.35934838806334	0.0	0.0	0.0	0.0	-33.84731994383633	1.264569557656357	0.0	0.0	-4.769570592259695	-155.8697873350295	0.0	-235.61775911635888	0.0	0.0	0.0	0.0	0.0	-63.26740397532876	0.0	0.0	0.0	-199.10552800660128	-4.343656984090428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-29.561741068214005	0.0	-19.73552590720356	0.0	0.0	0.0	-5.790373886821456	-64.64694740591003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(, -0.30)	0.0	-84.36896164962579	0.0	0.0	-37.32824177501548	-46.879435760553974	-4.118907009763633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-18.710894214685435	0.0	0.0	0.0	0.0	-226.21884627108403	0.0	0.0	0.0	-32.3137528211731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-68.35185811843745	0.0	0.0	0.0	0.0	0.0	0.0	-7.525112515934299	0.0	26.414211541533387	0.0	0.0	0.0	0.0	0.0	0.0	-231.34836154221466	0.0	0.0	0.0	0.0	0.0	-104.72464080244004	0.0	0.0	0.0	0.0	0.0	0.0	-32.709892375145685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-136.66732617710966	0.0	0.0	0.0	-93.19429535462913	0.0	0.0	0.0	0.0	0.0	-6.581384569441089	0.0	0.0	0.0	0.0	0.0	0.0	-8.257552237546868	0.0	0.0	0.0	0.0	0.0	0.0	-6.608367933571013	0.0	0.0	0.0	-38.204399720217914	0.0	0.0	0.0	-6.476875373883808	0.0	0.0	0.0	-124.4214087335948	0.0	0.0	-0.3279556863294127	-44.25541669777836	0.0	0.0	0.0	0.0	0.0	0.0	-1.471152557218747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.158094217068403	0.0	0.0	-7.490117305251537	0.0	0.0	0.0	0.0	-66.67841496649564	0.0	0.0	0.0	-122.56777467359154	-227.01656132865253	0.0	28.452698112482594	0.0	0.0	-79.64908688210437	-122.68349321889673	0.0	0.0	0.0	0.0	0.0	31.085874472187744	0.0	0.0	-144.1395469561653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-97.52116177191073	3.763588799803096	-202.86765997384288	0.0	0.0	-58.67661443359249	0.0	0.0	0.0	0.0	-97.22445716671344	0.0	0.0	0.0	0.0	-6.235731984466892	0.0	0.0	-119.25853108071419	0.0	0.0	0.0	-21.903570113587577	0.0	31.166067771588388	0.0	0.0	0.0	0.0	-33.71511529617566	0.0	0.0	0.0	-4.694350351262626	-148.58962703454688	0.0	-235.47910634722484	0.0	0.0	0.0	0.0	0.0	-63.95560343669642	0.0	0.0	0.0	-228.57645174742996	-2.7573976673846494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-22.986211499191462	0.0	-24.92535703765637	0.0	0.0	0.0	-5.847818639146059	-65.90269443470382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(, -0.20)	0.0	-81.59060347776375	0.0	0.0	-36.737792512274716	-44.88228138844447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-19.4080183230493	0.0	0.0	0.0	0.0	-226.1820932762319	0.0	0.0	0.0	-33.193286298375234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-71.61853059902435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.679720597088338	0.0	0.0	0.0	0.0	0.0	0.0	-211.5629668273388	0.0	0.0	0.0	0.0	0.0	-104.856048296289	0.0	0.0	0.0	0.0	0.0	0.0	-34.234007407103036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-158.99296232896796	0.0	0.0	0.0	-95.23534952466531	0.0	0.0	0.0	0.0	0.0	-6.455709684107729	0.0	0.0	0.0	0.0	0.0	0.0	-8.270344263924128	0.0	0.0	0.0	0.0	0.0	0.0	-6.615096910790597	0.0	0.0	0.0	-52.22400043121941	0.0	0.0	0.0	-6.485659180276003	0.0	0.0	0.0	-124.81607259759868	0.0	0.0	0.0	-50.161075743150775	0.0	0.0	0.0	0.0	0.0	0.0	-1.2800839457468527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.5496116831947733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-66.78944541168937	0.0	0.0	0.0	-122.26017457875469	-227.6280173641644	0.0	28.45352215301707	0.0	0.0	-80.48156005481181	-123.22051335089647	0.0	0.0	0.0	0.0	0.0	32.329688359202066	0.0	0.0	-148.49453386436946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.60795137866258	2.807389070476048	-197.45330637892621	0.0	0.0	-60.80478074341754	0.0	0.0	0.0	0.0	-98.9037827708564	0.0	0.0	0.0	0.0	-5.481637250481211	0.0	0.0	-116.87463604748721	0.0	0.0	0.0	-15.951373696061347	0.0	31.706505445156154	0.0	0.0	0.0	0.0	-30.388499928952193	0.0	0.0	0.0	-4.8747058657867015	-155.88057056571688	0.0	-235.35825729395918	0.0	0.0	0.0	0.0	0.0	-63.17737178419955	0.0	0.0	0.0	-228.9592349749731	-2.983715375916058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-27.352726216289867	0.0	-25.14329332077599	0.0	0.0	0.0	-4.34270782352941	-64.52518346770245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(, -0.10)	0.0	-78.48409684018834	0.0	0.0	-36.780380199438866	-47.3268488818358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-17.892122417844895	0.0	0.0	0.0	0.0	-225.78616654100546	0.0	0.0	0.0	-38.8836358407323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-68.04954171574596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.828978276801879	0.0	0.0	0.0	0.0	0.0	0.0	-220.582095863497	0.0	0.0	0.0	0.0	0.0	-105.42284479329496	0.0	0.0	0.0	0.0	0.0	0.0	-27.784536561461458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-144.43046053467089	0.0	0.0	0.0	-94.32269038825453	0.0	0.0	0.0	0.0	0.0	-6.566728144592111	0.0	0.0	0.0	0.0	0.0	0.0	-12.940736647500042	0.0	0.0	0.0	0.0	0.0	0.0	-6.6201708415298315	0.0	0.0	0.0	-52.34568157754363	0.0	0.0	0.0	-6.5880393851400845	0.0	0.0	0.0	-94.63781156147438	0.0	0.0	0.0	-45.12891380025294	0.0	0.0	0.0	0.0	0.0	0.0	1.3009215321297352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3489607731759206	0.0	0.0	-10.905877218239873	0.0	0.0	0.0	0.0	-66.44562203309154	0.0	0.0	0.0	-131.03151594085165	-234.3290309843154	0.0	16.816104524846658	0.0	0.0	-82.49758774912789	-121.92254673267466	0.0	0.0	0.0	0.0	0.0	31.559837020820467	0.0	0.0	-143.82061472260926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-97.07368879909126	3.598482459556455	-197.7591910411063	0.0	0.0	-57.177814900719014	0.0	0.0	0.0	0.0	-98.46106653652839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-117.6228495818014	0.0	0.0	0.0	-19.45885330921299	0.0	31.689598734954423	0.0	0.0	0.0	0.0	-31.188871330230675	0.0	0.0	0.0	-4.983686878988561	-155.65941224718296	0.0	-235.8759840400828	0.0	0.0	0.0	0.0	0.0	-63.14107290934694	0.0	0.0	0.0	-228.97018967756497	-2.794883005755171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-27.17034313771889	0.0	-24.029148423769065	0.0	0.0	0.0	0.0	-63.99031193324281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
